text,Topic,Subtopic
"I can't discuss leaving the bank with you, and I'd like to speak to an actual person.",Other,Bot to Human
Please tell me how to verify my top up card.,Funds,Top Up Info
Please check to see if the band transfer I made a while ago from my UK account has safely arrived.,Funds,Funds Transfer
I have a transaction and would like to know if I it's cancelable?,Funds,Funds Transfer Cancel
Am I able to do a SWIFT transfer with you?,Other,Unsupported Talk
do you have a fee for receiving a SEPA transfer?,Funds,Funds Fees
"My card will expire soon, When do I need to order a new one?",Card,Card Order
How do I add my new card to the app?,Other,App Info
Your company is lame. Shut down all my account services right now.,Account,Account Close
Why did my card payment get declined?,Funds,Funds Transfer Issues
What  is the verification process for a top up card?,Funds,Top Up Info
I can't get a contactless payment to work.,Funds,Funds Transfer Issues
I can't use my virtual disposable card,Card,Card Issues
"I know, I tried it in my online app like 10 times! send that to my debit card",Funds,Funds Transfer
I need my card delivered as soon as possible.,Card,Card Delivery
My card is about to expire. How do I get a new card?,Card,Card Order
Is there an extra fee to exchange currencies?,Funds,Funds Fees
My card payment was cancelled it seems.,Card,Card Issues
A payment shows up on the app that I never made.,Funds,Funds Wrong Debit
Is there any fees for top ups?,Funds,Funds Fees
I got double charged!,Funds,Funds Fees Issues
Can I change or hold different currency?,Funds,Funds Exchange
I have a pending money transfer,Funds,Funds Pending Issues
Payment I didn't do.,Funds,Funds Wrong Debit
Why hasn't my friend received the money i sent them yet?,Funds,Funds Pending Issues
I received incorrect amount of cash from an ATM today. It was more than I wanted. What do I do now?,Other,ATM Issues
i want to open one,Other,Small Talk
what are the reasons I have to proof my identity to you?,Other,Unsupported Talk
"How do I unblock my PIN?""",Account,Account Issues
I'm on vacation in Europe but I desperately need to change my PIN. Can I do this from abroad?,Account,Reset PIN
What currencies can my account be in?,Account,Account Info
What are the limits to where my card will be accepted?,Other,Unsupported Talk
Is it normal to see a fee for transferring money?,Funds,Funds Fees
Could you please recommend what I should do if my card keeps getting declined?  I planned to top-up today but I am unable to get it to work.  I need a fast solution to this problem.,Card,Card Issues
Can you do exchanges of EUR?,Funds,Funds Exchange Info
I have an unauthorized charge.,Other,Scam
"If my account is low in funds, can I set an auto top-up?",Funds,Automatic Top Up
please pay my bill,Funds,Funds Transfer
disable my card account and contact company to report fraudulent activty,Card,Reset PIN
When I made a transfer I was charged extra.,Funds,Funds Fees
Thanks for the kind words,Other,Small Talk
What is the cost for currency exchanges?,Funds,Funds Fees
I am so angry right now! I went to the ATM and did not get the correct amount of money I chose to withdraw. How could this happen? I need my money and want to know how I can get it ASAP!,Other,ATM Issues
My top-up has been reverted and I would like to know why.,Funds,Top Up Issues
Is it right that I've been charged for transferring money?,Funds,Funds Fees
Hi my account was suspended but wasn’t supposed to be,Account,Account Info
How do I replace a card that's going to expire?,Card,Card Order
I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before.,Funds,Funds Fees Issues
Can i choose a specific delivery date?,Card,Card Delivery
"i am not a premium customer but i want a virtual card, how do i get it",Card,Card Order
how expensive was my most recent transaction,Funds,Funds Transaction History
What are the limitations on the disposable cards?,Card,Card Info
Why do you guys need to verify my identity?,Account,Identity Verification
What currencies do you accept to add money?,Card,Card Delivery
I need someone to assist me with explaining how much I can top-up.,Funds,Top Up Info
My transfer didn't complete. Why can't I access funds?,Account,Identity Verification
Thank you,Other,Small Talk
Do you charge anything for topping up?,Funds,Top Up Info
How long until my new card gets here?,Card,Card Delivery
"I asked for a certain amount of money from the ATM, but it gave me a different amount. Less than what I asked for.",Other,ATM Issues
"Exactly, it is debit",Other,Unsupported Talk
There is a direct debit charge on my account that is not mine.,Funds,Funds Wrong Debit
I'm having problems with ID verification,Account,Identity Verification
Where does the exchange rate stand right now?,Funds,Funds Exchange Info
Can you tell me why I haven't received my new card yet?,Card,Card Delivery
Is there always a charge when withdrawing money?,Funds,Withdraw Issues
transfer money from one place to another,Funds,Funds Transfer
i need you to block my mutualone account now,Account,Account Close
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",Funds,Funds Transfer Issues
That sounds great,Other,Small Talk
Is topping up with Apple Pay possible?,Funds,Top Up Info
Thanx 😊👍,Other,Small Talk
How can I transfer money using my credit card?,Funds,Funds Transfer
"Yes, I am abroad",Other,Small Talk
How can i reset my passcode ?,Account,Reset Account Password
Please provide currency exchange rates,Funds,Funds Exchange Info
You as well!!,Other,Small Talk
What is the top-up limit for my card?,Funds,Top Up Info
Set a new PIN please.,Account,Reset PIN
"it's the same amount, that's right.",Other,Conversation Control
"Why does the ATM continually decline my card? I've tried multiple times on different machines with the same results. I thought I had enough funds for this, so please help me understand why this is happening.",Card,ATM Card Issues
transfer sixty dollars to dad from my biggest accnt,Funds,Funds Transfer
I want to have multiple currencies in my account if possible.,Other,Unsupported Talk
ATM only gave me $20 instead of $100,Funds,Withdraw Issues
should i add money via bank transfer instead,Other,Unsupported Talk
I was spending cash with my card and got a fee.,Funds,Funds Fees Issues
"How long does an international transfer take? I made the transfer from France 2 days ago, but it is not showing up in my bank yet.",Funds,Funds Exchange Info
I'm not satisfied with the services that you are providing.  I would like to end my services and delete my account.,Account,Account Close
what currencies can i use to add money to my account,Funds,Funds Pending Issues
Is there a reason my top-up has been cancelled?,Funds,Top Up Issues
i need to talk to someone about a transaction that was not made by me on my chase account,Funds,Funds Wrong Debit
"I found my card, how can I use it again?",Card,Card Activation
"I need to delete my account, please.",Account,Account Close
Can I put my found card back into the app on my phone?,Card,Card Info
yes i have paid him before,Other,Unsupported Talk
"I need an actual card that I can hold in my hand, how do I do that?",Card,Card Order
"There are a couple payments with my card shown in the app that i really didn't make myself. What's happenning with this, does someone has access to my card?!",Other,Scam
"When will I get a new card when I order it, and how much will it cost.",Card,Card Order
how long should i wait ti activate my card,Card,Card Activation
Google Pay won't let me top up.,Funds,Top Up Info
What is this fee showing up in my account for?,Funds,Funds Fees
Can my account have different types of currency in it.,Account,Account Info
I sent some money and the account hasn't recived the transfer I made.,Funds,Funds Transfer Issues
How do I update my address?,Account,Account Info Change
Where is my PIN located?,Funds,Funds Fees
think someone is using my card with permission,Other,Scam
Is my daughter eligible to open an account?,Account,Account Creation
My account is showing a double charge.,Other,Unsupported Talk
There is a withdrawal on my account that I don't remember initiating.,Funds,Withdraw Issues
why 'd they put a freeze on my bank account,Account,Account Info
